id,date,meet,sess,plat,age_group_weight_category,weigh,weight_category,time,estimated_entry_totals_(min___max),gender,number_of_lifters
215,2026-03-07,2026 Virus Weightlifting Series 1,18,Stripes,110kg & 94+kg F,16:00:00,,18:00:00,240-250,M,11
216,2026-03-07,2026 Virus Weightlifting Series 1,19,Red,69kg & 63+kg A,18:00:00,,20:00:00,195-225,F,11
217,2026-03-07,2026 Virus Weightlifting Series 1,19,White,86kg & 77+kg E,18:00:00,,20:00:00,130-138,F,11
218,2026-03-07,2026 Virus Weightlifting Series 1,19,Blue,77kg & 69+kg F,18:00:00,,20:00:00,140-150,F,12
219,2026-03-07,2026 Virus Weightlifting Series 1,19,Stars,94kg D,18:00:00,,20:00:00,232-250,M,11
220,2026-03-07,2026 Virus Weightlifting Series 1,19,Stripes,110kg & 94+kg E,18:00:00,,20:00:00,250-260,M,11
221,2026-03-08,2026 Virus Weightlifting Series 1,20,Red,110kg & 94+kg D,06:00:00,,08:00:00,260-270,M,11
222,2026-03-08,2026 Virus Weightlifting Series 1,20,White,86+kg E,06:00:00,,08:00:00,90-120,F,12
223,2026-03-08,2026 Virus Weightlifting Series 1,20,Blue,86kg & 77+kg D,06:00:00,,08:00:00,140-145,F,11
224,2026-03-08,2026 Virus Weightlifting Series 1,20,Stars,77kg & 69+kg E,06:00:00,,08:00:00,150-158,F,12
225,2026-03-08,2026 Virus Weightlifting Series 1,20,Stripes,94kg C,06:00:00,,08:00:00,250-260,M,11
226,2026-03-08,2026 Virus Weightlifting Series 1,21,Red,86kg & 77+kg C,08:00:00,,10:00:00,150-164,F,11
227,2026-03-08,2026 Virus Weightlifting Series 1,21,White,86+kg D,08:00:00,,10:00:00,130-146,F,12
228,2026-03-08,2026 Virus Weightlifting Series 1,21,Blue,110+kg D,08:00:00,,10:00:00,125-220,M,11
229,2026-03-08,2026 Virus Weightlifting Series 1,21,Stars,77kg & 69+kg D,08:00:00,,10:00:00,158-160,F,12
230,2026-03-08,2026 Virus Weightlifting Series 1,21,Stripes,94kg B,08:00:00,,10:00:00,260-280,M,11
231,2026-03-08,2026 Virus Weightlifting Series 1,22,Red,110kg & 94+kg C,10:00:00,,12:00:00,270-280,M,11
232,2026-03-08,2026 Virus Weightlifting Series 1,22,White,86+kg C,10:00:00,,12:00:00,147-165,F,12
233,2026-03-08,2026 Virus Weightlifting Series 1,22,Blue,110+kg C,10:00:00,,12:00:00,220-250,M,11
234,2026-03-08,2026 Virus Weightlifting Series 1,22,Stars,77kg & 69+kg C,10:00:00,,12:00:00,160-167,F,12
235,2026-03-08,2026 Virus Weightlifting Series 1,22,Stripes,94kg A,10:00:00,,12:00:00,280-360,M,11
236,2026-03-08,2026 Virus Weightlifting Series 1,23,Red,110kg & 94+kg B,12:00:00,,14:00:00,280-290,M,11
237,2026-03-08,2026 Virus Weightlifting Series 1,23,White,86+kg B,12:00:00,,14:00:00,166-190,F,12
238,2026-03-08,2026 Virus Weightlifting Series 1,23,Blue,110+kg B,12:00:00,,14:00:00,260-285,M,11
239,2026-03-08,2026 Virus Weightlifting Series 1,23,Stars,77kg & 69+kg B,12:00:00,,14:00:00,168-190,F,12
240,2026-03-08,2026 Virus Weightlifting Series 1,23,Stripes,86kg & 77+kg B,12:00:00,,14:00:00,167-187,F,11
241,2026-03-08,2026 Virus Weightlifting Series 1,24,Red,110kg & 94+kg A,14:00:00,,16:00:00,290-360,M,11
242,2026-03-08,2026 Virus Weightlifting Series 1,24,White,86+kg A,14:00:00,,16:00:00,195-250,F,12
243,2026-03-08,2026 Virus Weightlifting Series 1,24,Blue,110+kg A,14:00:00,,16:00:00,285-390,M,11
244,2026-03-08,2026 Virus Weightlifting Series 1,24,Stars,77kg & 69+kg A,14:00:00,,16:00:00,190-250,F,12
245,2026-03-08,2026 Virus Weightlifting Series 1,24,Stripes,86kg & 77+kg A,14:00:00,,16:00:00,188-230,F,10
