event_name,gender,age_category,weight_class,qualifying_total
Virus Series 2,Women,Senior,53kg,94
Virus Series 2,Women,Senior,57kg,100
Virus Series 2,Women,Senior,61kg,109
Virus Series 2,Women,Senior,69kg,121
Virus Series 2,Women,Senior,77kg,128
Virus Series 2,Women,Senior,86kg,132
Virus Series 2,Women,Senior,86+kg,138
Virus Series 2,Women,Masters 35,49kg,74
Virus Series 2,Women,Masters 35,53kg,79
Virus Series 2,Women,Masters 35,57kg,86
Virus Series 2,Women,Masters 35,61kg,89
Virus Series 2,Women,Masters 35,69kg,95
Virus Series 2,Women,Masters 35,77kg,101
Virus Series 2,Women,Masters 35,86kg,105
Virus Series 2,Women,Masters 35,86+kg,112
Virus Series 2,Women,Masters 40,49kg,67
Virus Series 2,Women,Masters 40,53kg,71
Virus Series 2,Women,Masters 40,57kg,77
Virus Series 2,Women,Masters 40,61kg,80
Virus Series 2,Women,Masters 40,69kg,87
Virus Series 2,Women,Masters 40,77kg,93
Virus Series 2,Women,Masters 40,86kg,96
Virus Series 2,Women,Masters 40,86+kg,103
Virus Series 2,Women,Masters 45,49kg,64
Virus Series 2,Women,Masters 45,53kg,67
Virus Series 2,Women,Masters 45,57kg,72
Virus Series 2,Women,Masters 45,61kg,77
Virus Series 2,Women,Masters 45,69kg,80
Virus Series 2,Women,Masters 45,77kg,87
Virus Series 2,Women,Masters 45,86kg,91
Virus Series 2,Women,Masters 45,86+kg,97
Virus Series 2,Women,Masters 50,49kg,60
Virus Series 2,Women,Masters 50,53kg,63
Virus Series 2,Women,Masters 50,57kg,68
Virus Series 2,Women,Masters 50,61kg,71
Virus Series 2,Women,Masters 50,69kg,77
Virus Series 2,Women,Masters 50,77kg,82
Virus Series 2,Women,Masters 50,86kg,85
Virus Series 2,Women,Masters 50,86+kg,92
Virus Series 2,Women,Masters 55,49kg,45
Virus Series 2,Women,Masters 55,53kg,47
Virus Series 2,Women,Masters 55,57kg,52
Virus Series 2,Women,Masters 55,61kg,54
Virus Series 2,Women,Masters 55,69kg,58
Virus Series 2,Women,Masters 55,77kg,63
Virus Series 2,Women,Masters 55,86kg,66
Virus Series 2,Women,Masters 55,86+kg,71
Virus Series 2,Women,Masters 60,49kg,41
Virus Series 2,Women,Masters 60,53kg,43
Virus Series 2,Women,Masters 60,57kg,47
Virus Series 2,Women,Masters 60,61kg,49
Virus Series 2,Women,Masters 60,69kg,53
Virus Series 2,Women,Masters 60,77kg,58
Virus Series 2,Women,Masters 60,86kg,61
Virus Series 2,Women,Masters 60,86+kg,63
Virus Series 2,Women,Masters 65,49kg,38
Virus Series 2,Women,Masters 65,53kg,39
Virus Series 2,Women,Masters 65,57kg,42
Virus Series 2,Women,Masters 65,61kg,43
Virus Series 2,Women,Masters 65,69kg,47
Virus Series 2,Women,Masters 65,77kg,52
Virus Series 2,Women,Masters 65,86kg,55
Virus Series 2,Women,Masters 65,86+kg,58
Virus Series 2,Women,Masters 70,49kg,34
Virus Series 2,Women,Masters 70,53kg,35
Virus Series 2,Women,Masters 70,57kg,37
Virus Series 2,Women,Masters 70,61kg,38
Virus Series 2,Women,Masters 70,69kg,42
Virus Series 2,Women,Masters 70,77kg,47
Virus Series 2,Women,Masters 70,86kg,49
Virus Series 2,Women,Masters 70,86+kg,51
Virus Series 2,Women,Masters 75,49kg,29
Virus Series 2,Women,Masters 75,53kg,30
Virus Series 2,Women,Masters 75,57kg,32
Virus Series 2,Women,Masters 75,61kg,33
Virus Series 2,Women,Masters 75,69kg,36
Virus Series 2,Women,Masters 75,77kg,41
Virus Series 2,Women,Masters 75,86kg,43
Virus Series 2,Women,Masters 75,86+kg,44
Virus Series 2,Women,Masters 80,49kg,30
Virus Series 2,Women,Masters 80,53kg,31
Virus Series 2,Women,Masters 80,57kg,33
Virus Series 2,Women,Masters 80,61kg,34
Virus Series 2,Women,Masters 80,69kg,37
Virus Series 2,Women,Masters 80,77kg,43
Virus Series 2,Women,Masters 80,86kg,45
Virus Series 2,Women,Masters 80,86+kg,46
